,Unnamed: 0,t1,t2,t3,t4,t5,NO2_t+1,NO2_t+2
64,69,3.463729006563715e-05,3.5485198168316856e-05,3.656924418464769e-05,3.765329020097852e-05,3.488303555059247e-05,3.294147386027775e-05,3.209356575759805e-05
65,70,3.3789381962957456e-05,3.463729006563715e-05,3.5485198168316856e-05,3.656924418464769e-05,3.765329020097852e-05,3.209356575759805e-05,3.124565765491835e-05
66,71,3.294147386027775e-05,3.3789381962957456e-05,3.463729006563715e-05,3.5485198168316856e-05,3.656924418464769e-05,3.124565765491835e-05,3.0397749552238647e-05
67,72,3.209356575759805e-05,3.294147386027775e-05,3.3789381962957456e-05,3.463729006563715e-05,3.5485198168316856e-05,3.0397749552238647e-05,2.9549841449558947e-05
68,73,3.124565765491835e-05,3.209356575759805e-05,3.294147386027775e-05,3.3789381962957456e-05,3.463729006563715e-05,2.9549841449558947e-05,2.8701933346879244e-05
69,74,3.0397749552238647e-05,3.124565765491835e-05,3.209356575759805e-05,3.294147386027775e-05,3.3789381962957456e-05,2.8701933346879244e-05,2.7854025244199544e-05
70,75,2.9549841449558947e-05,3.0397749552238647e-05,3.124565765491835e-05,3.209356575759805e-05,3.294147386027775e-05,2.7854025244199544e-05,2.7006117141519844e-05
71,76,2.8701933346879244e-05,2.9549841449558947e-05,3.0397749552238647e-05,3.124565765491835e-05,3.209356575759805e-05,2.7006117141519844e-05,2.615820903884014e-05
72,77,2.7854025244199544e-05,2.8701933346879244e-05,2.9549841449558947e-05,3.0397749552238647e-05,3.124565765491835e-05,2.615820903884014e-05,2.0102433457698982e-05
73,78,2.7006117141519844e-05,2.7854025244199544e-05,2.8701933346879244e-05,2.9549841449558947e-05,3.0397749552238647e-05,2.0102433457698982e-05,3.155256037846104e-05
74,79,2.615820903884014e-05,2.7006117141519844e-05,2.7854025244199544e-05,2.8701933346879244e-05,2.9549841449558947e-05,3.155256037846104e-05,4.30026872992231e-05
75,80,2.0102433457698982e-05,2.615820903884014e-05,2.7006117141519844e-05,2.7854025244199544e-05,2.8701933346879244e-05,4.30026872992231e-05,5.445281421998516e-05
76,81,3.155256037846104e-05,2.0102433457698982e-05,2.615820903884014e-05,2.7006117141519844e-05,2.7854025244199544e-05,5.445281421998516e-05,4.8072633398987824e-05
77,82,4.30026872992231e-05,3.155256037846104e-05,2.0102433457698982e-05,2.615820903884014e-05,2.7006117141519844e-05,4.8072633398987824e-05,4.169245257799048e-05
78,83,5.445281421998516e-05,4.30026872992231e-05,3.155256037846104e-05,2.0102433457698982e-05,2.615820903884014e-05,4.169245257799048e-05,4.0916151374403856e-05
79,84,4.8072633398987824e-05,5.445281421998516e-05,4.30026872992231e-05,3.155256037846104e-05,2.0102433457698982e-05,4.0916151374403856e-05,4.0139850170817226e-05
80,85,4.169245257799048e-05,4.8072633398987824e-05,5.445281421998516e-05,4.30026872992231e-05,3.155256037846104e-05,4.0139850170817226e-05,3.829317847703351e-05
81,86,4.0916151374403856e-05,4.169245257799048e-05,4.8072633398987824e-05,5.445281421998516e-05,4.30026872992231e-05,3.829317847703351e-05,3.829610235091726e-05
82,87,4.0139850170817226e-05,4.0916151374403856e-05,4.169245257799048e-05,4.8072633398987824e-05,5.445281421998516e-05,3.829610235091726e-05,3.829902622480101e-05
83,88,3.829317847703351e-05,4.0139850170817226e-05,4.0916151374403856e-05,4.169245257799048e-05,4.8072633398987824e-05,3.829902622480101e-05,3.055918872026572e-05
84,89,3.829610235091726e-05,3.829317847703351e-05,4.0139850170817226e-05,4.0916151374403856e-05,4.169245257799048e-05,3.055918872026572e-05,1.90573782674619e-05
85,90,3.829902622480101e-05,3.829610235091726e-05,3.829317847703351e-05,4.0139850170817226e-05,4.0916151374403856e-05,1.90573782674619e-05,3.166831602356979e-05
86,91,3.055918872026572e-05,3.829902622480101e-05,3.829610235091726e-05,3.829317847703351e-05,4.0139850170817226e-05,3.166831602356979e-05,4.427925377967767e-05
87,92,1.90573782674619e-05,3.055918872026572e-05,3.829902622480101e-05,3.829610235091726e-05,3.829317847703351e-05,4.427925377967767e-05,3.59908235623152e-05
90,95,3.59908235623152e-05,4.427925377967767e-05,3.166831602356979e-05,1.90573782674619e-05,3.055918872026572e-05,6.61340748896085e-05,3.468455239878191e-05
97,102,4.438272117113229e-05,3.897158800706772e-05,3.356045484300315e-05,3.672714910862851e-05,3.468455239878191e-05,1.695389346423326e-05,1.852112677624973e-05
98,103,5.92292271903716e-05,4.438272117113229e-05,3.897158800706772e-05,3.356045484300315e-05,3.672714910862851e-05,1.852112677624973e-05,2.00883600882662e-05
99,104,1.695389346423326e-05,5.92292271903716e-05,4.438272117113229e-05,3.897158800706772e-05,3.356045484300315e-05,2.00883600882662e-05,2.3488305714636223e-05
100,105,1.852112677624973e-05,1.695389346423326e-05,5.92292271903716e-05,4.438272117113229e-05,3.897158800706772e-05,2.3488305714636223e-05,2.6888251341006253e-05
101,106,2.00883600882662e-05,1.852112677624973e-05,1.695389346423326e-05,5.92292271903716e-05,4.438272117113229e-05,2.6888251341006253e-05,3.137622106805793e-05
102,107,2.3488305714636223e-05,2.00883600882662e-05,1.852112677624973e-05,1.695389346423326e-05,5.92292271903716e-05,3.137622106805793e-05,3.5864190795109605e-05
103,108,2.6888251341006253e-05,2.3488305714636223e-05,2.00883600882662e-05,1.852112677624973e-05,1.695389346423326e-05,3.5864190795109605e-05,2.2777081539970823e-05
104,109,3.137622106805793e-05,2.6888251341006253e-05,2.3488305714636223e-05,2.00883600882662e-05,1.852112677624973e-05,2.2777081539970823e-05,4.528528400745321e-05
105,110,3.5864190795109605e-05,3.137622106805793e-05,2.6888251341006253e-05,2.3488305714636223e-05,2.00883600882662e-05,4.528528400745321e-05,4.590310272002777e-05
106,111,2.2777081539970823e-05,3.5864190795109605e-05,3.137622106805793e-05,2.6888251341006253e-05,2.3488305714636223e-05,4.590310272002777e-05,4.652092143260234e-05
107,112,4.528528400745321e-05,2.2777081539970823e-05,3.5864190795109605e-05,3.137622106805793e-05,2.6888251341006253e-05,4.652092143260234e-05,4.7138740145176906e-05
108,113,4.590310272002777e-05,4.528528400745321e-05,2.2777081539970823e-05,3.5864190795109605e-05,3.137622106805793e-05,4.7138740145176906e-05,4.7756558857751466e-05
109,114,4.652092143260234e-05,4.590310272002777e-05,4.528528400745321e-05,2.2777081539970823e-05,3.5864190795109605e-05,4.7756558857751466e-05,4.837437757032603e-05
110,115,4.7138740145176906e-05,4.652092143260234e-05,4.590310272002777e-05,4.528528400745321e-05,2.2777081539970823e-05,4.837437757032603e-05,4.89921962829006e-05
111,116,4.7756558857751466e-05,4.7138740145176906e-05,4.652092143260234e-05,4.590310272002777e-05,4.528528400745321e-05,4.89921962829006e-05,4.9610014995475166e-05
112,117,4.837437757032603e-05,4.7756558857751466e-05,4.7138740145176906e-05,4.652092143260234e-05,4.590310272002777e-05,4.9610014995475166e-05,5.022783370804973e-05
113,118,4.89921962829006e-05,4.837437757032603e-05,4.7756558857751466e-05,4.7138740145176906e-05,4.652092143260234e-05,5.022783370804973e-05,4.710880239144899e-05
114,119,4.9610014995475166e-05,4.89921962829006e-05,4.837437757032603e-05,4.7756558857751466e-05,4.7138740145176906e-05,4.710880239144899e-05,2.438967446020494e-05
