,Unnamed: 0,t1,t2,t3,NO2_t+1,NO2_t+2
27,30,2.098030457394392e-05,2.020206958756414e-05,1.942383460118436e-05,2.253677454670348e-05,5.1277506827318575e-05
28,31,2.1758539560323698e-05,2.098030457394392e-05,2.020206958756414e-05,5.1277506827318575e-05,4.752520923526996e-05
29,32,2.253677454670348e-05,2.1758539560323698e-05,2.098030457394392e-05,4.752520923526996e-05,4.377291164322135e-05
30,33,5.1277506827318575e-05,2.253677454670348e-05,2.1758539560323698e-05,4.377291164322135e-05,4.002061405117274e-05
31,34,4.752520923526996e-05,5.1277506827318575e-05,2.253677454670348e-05,4.002061405117274e-05,3.626831645912413e-05
32,35,4.377291164322135e-05,4.752520923526996e-05,5.1277506827318575e-05,3.626831645912413e-05,3.335698784212582e-05
33,36,4.002061405117274e-05,4.377291164322135e-05,4.752520923526996e-05,3.335698784212582e-05,3.921486101414e-05
34,37,3.626831645912413e-05,4.002061405117274e-05,4.377291164322135e-05,3.921486101414e-05,4.507273418615417e-05
35,38,3.335698784212582e-05,3.626831645912413e-05,4.002061405117274e-05,4.507273418615417e-05,6.779521208954975e-05
36,39,3.921486101414e-05,3.335698784212582e-05,3.626831645912413e-05,6.779521208954975e-05,6.288297833331551e-05
37,40,4.507273418615417e-05,3.921486101414e-05,3.335698784212582e-05,6.288297833331551e-05,5.797074457708125e-05
38,41,6.779521208954975e-05,4.507273418615417e-05,3.921486101414e-05,5.797074457708125e-05,5.3058510820847006e-05
39,42,6.288297833331551e-05,6.779521208954975e-05,4.507273418615417e-05,5.3058510820847006e-05,4.814627706461276e-05
40,43,5.797074457708125e-05,6.288297833331551e-05,6.779521208954975e-05,4.814627706461276e-05,4.323404330837851e-05
41,44,5.3058510820847006e-05,5.797074457708125e-05,6.288297833331551e-05,4.323404330837851e-05,7.877365533204284e-05
42,45,4.814627706461276e-05,5.3058510820847006e-05,5.797074457708125e-05,7.877365533204284e-05,4.375048047222663e-05
43,46,4.323404330837851e-05,4.814627706461276e-05,5.3058510820847006e-05,4.375048047222663e-05,3.353621165539759e-05
44,47,7.877365533204284e-05,4.323404330837851e-05,4.814627706461276e-05,3.353621165539759e-05,4.32566627447765e-05
45,48,4.375048047222663e-05,7.877365533204284e-05,4.323404330837851e-05,4.32566627447765e-05,5.297711383415541e-05
46,49,3.353621165539759e-05,4.375048047222663e-05,7.877365533204284e-05,5.297711383415541e-05,3.276710989060424e-05
47,50,4.32566627447765e-05,3.353621165539759e-05,4.375048047222663e-05,3.276710989060424e-05,4.532905913947616e-05
48,51,5.297711383415541e-05,4.32566627447765e-05,3.353621165539759e-05,4.532905913947616e-05,3.635277607827448e-05
49,52,3.276710989060424e-05,5.297711383415541e-05,4.32566627447765e-05,3.635277607827448e-05,3.9254452804016186e-05
50,53,4.532905913947616e-05,3.276710989060424e-05,5.297711383415541e-05,3.9254452804016186e-05,4.21561295297579e-05
51,54,3.635277607827448e-05,4.532905913947616e-05,3.276710989060424e-05,4.21561295297579e-05,4.5057806255499605e-05
52,55,3.9254452804016186e-05,3.635277607827448e-05,4.532905913947616e-05,4.5057806255499605e-05,4.795948298124131e-05
53,56,4.21561295297579e-05,3.9254452804016186e-05,3.635277607827448e-05,4.795948298124131e-05,6.489087172667496e-05
54,57,4.5057806255499605e-05,4.21561295297579e-05,3.9254452804016186e-05,6.489087172667496e-05,5.243001457226153e-05
55,58,4.795948298124131e-05,4.5057806255499605e-05,4.21561295297579e-05,5.243001457226153e-05,3.996915741784809e-05
56,59,6.489087172667496e-05,4.795948298124131e-05,4.5057806255499605e-05,3.996915741784809e-05,3.735036524530086e-05
57,60,5.243001457226153e-05,6.489087172667496e-05,4.795948298124131e-05,3.735036524530086e-05,3.473157307275364e-05
58,61,3.996915741784809e-05,5.243001457226153e-05,6.489087172667496e-05,3.473157307275364e-05,3.211278090020642e-05
59,62,3.735036524530086e-05,3.996915741784809e-05,5.243001457226153e-05,3.211278090020642e-05,3.488303555059247e-05
60,63,3.473157307275364e-05,3.735036524530086e-05,3.996915741784809e-05,3.488303555059247e-05,3.765329020097852e-05
61,64,3.211278090020642e-05,3.473157307275364e-05,3.735036524530086e-05,3.765329020097852e-05,3.656924418464769e-05
62,65,3.488303555059247e-05,3.211278090020642e-05,3.473157307275364e-05,3.656924418464769e-05,3.5485198168316856e-05
63,66,3.765329020097852e-05,3.488303555059247e-05,3.211278090020642e-05,3.5485198168316856e-05,3.463729006563715e-05
64,67,3.656924418464769e-05,3.765329020097852e-05,3.488303555059247e-05,3.463729006563715e-05,3.3789381962957456e-05
65,68,3.5485198168316856e-05,3.656924418464769e-05,3.765329020097852e-05,3.3789381962957456e-05,3.294147386027775e-05
66,69,3.463729006563715e-05,3.5485198168316856e-05,3.656924418464769e-05,3.294147386027775e-05,3.209356575759805e-05
67,70,3.3789381962957456e-05,3.463729006563715e-05,3.5485198168316856e-05,3.209356575759805e-05,3.124565765491835e-05
68,71,3.294147386027775e-05,3.3789381962957456e-05,3.463729006563715e-05,3.124565765491835e-05,3.0397749552238647e-05
69,72,3.209356575759805e-05,3.294147386027775e-05,3.3789381962957456e-05,3.0397749552238647e-05,2.9549841449558947e-05
70,73,3.124565765491835e-05,3.209356575759805e-05,3.294147386027775e-05,2.9549841449558947e-05,2.8701933346879244e-05
71,74,3.0397749552238647e-05,3.124565765491835e-05,3.209356575759805e-05,2.8701933346879244e-05,2.7854025244199544e-05
72,75,2.9549841449558947e-05,3.0397749552238647e-05,3.124565765491835e-05,2.7854025244199544e-05,2.7006117141519844e-05
73,76,2.8701933346879244e-05,2.9549841449558947e-05,3.0397749552238647e-05,2.7006117141519844e-05,2.615820903884014e-05
74,77,2.7854025244199544e-05,2.8701933346879244e-05,2.9549841449558947e-05,2.615820903884014e-05,2.0102433457698982e-05
75,78,2.7006117141519844e-05,2.7854025244199544e-05,2.8701933346879244e-05,2.0102433457698982e-05,3.155256037846104e-05
76,79,2.615820903884014e-05,2.7006117141519844e-05,2.7854025244199544e-05,3.155256037846104e-05,4.30026872992231e-05
77,80,2.0102433457698982e-05,2.615820903884014e-05,2.7006117141519844e-05,4.30026872992231e-05,5.445281421998516e-05
78,81,3.155256037846104e-05,2.0102433457698982e-05,2.615820903884014e-05,5.445281421998516e-05,4.8072633398987824e-05
79,82,4.30026872992231e-05,3.155256037846104e-05,2.0102433457698982e-05,4.8072633398987824e-05,4.169245257799048e-05
80,83,5.445281421998516e-05,4.30026872992231e-05,3.155256037846104e-05,4.169245257799048e-05,4.0916151374403856e-05
81,84,4.8072633398987824e-05,5.445281421998516e-05,4.30026872992231e-05,4.0916151374403856e-05,4.0139850170817226e-05
82,85,4.169245257799048e-05,4.8072633398987824e-05,5.445281421998516e-05,4.0139850170817226e-05,3.829317847703351e-05
83,86,4.0916151374403856e-05,4.169245257799048e-05,4.8072633398987824e-05,3.829317847703351e-05,3.829610235091726e-05
84,87,4.0139850170817226e-05,4.0916151374403856e-05,4.169245257799048e-05,3.829610235091726e-05,3.829902622480101e-05
85,88,3.829317847703351e-05,4.0139850170817226e-05,4.0916151374403856e-05,3.829902622480101e-05,3.055918872026572e-05
86,89,3.829610235091726e-05,3.829317847703351e-05,4.0139850170817226e-05,3.055918872026572e-05,1.90573782674619e-05
87,90,3.829902622480101e-05,3.829610235091726e-05,3.829317847703351e-05,1.90573782674619e-05,3.166831602356979e-05
88,91,3.055918872026572e-05,3.829902622480101e-05,3.829610235091726e-05,3.166831602356979e-05,4.427925377967767e-05
89,92,1.90573782674619e-05,3.055918872026572e-05,3.829902622480101e-05,4.427925377967767e-05,3.59908235623152e-05
90,93,3.166831602356979e-05,1.90573782674619e-05,3.055918872026572e-05,3.59908235623152e-05,9.75835973804351e-05
91,94,4.427925377967767e-05,3.166831602356979e-05,1.90573782674619e-05,9.75835973804351e-05,6.61340748896085e-05
92,95,3.59908235623152e-05,4.427925377967767e-05,3.166831602356979e-05,6.61340748896085e-05,3.468455239878191e-05
93,96,9.75835973804351e-05,3.59908235623152e-05,4.427925377967767e-05,3.468455239878191e-05,3.672714910862851e-05
94,97,6.61340748896085e-05,9.75835973804351e-05,3.59908235623152e-05,3.672714910862851e-05,3.356045484300315e-05
95,98,3.468455239878191e-05,6.61340748896085e-05,9.75835973804351e-05,3.356045484300315e-05,3.897158800706772e-05
96,99,3.672714910862851e-05,3.468455239878191e-05,6.61340748896085e-05,3.897158800706772e-05,4.438272117113229e-05
97,100,3.356045484300315e-05,3.672714910862851e-05,3.468455239878191e-05,4.438272117113229e-05,5.92292271903716e-05
98,101,3.897158800706772e-05,3.356045484300315e-05,3.672714910862851e-05,5.92292271903716e-05,1.695389346423326e-05
99,102,4.438272117113229e-05,3.897158800706772e-05,3.356045484300315e-05,1.695389346423326e-05,1.852112677624973e-05
100,103,5.92292271903716e-05,4.438272117113229e-05,3.897158800706772e-05,1.852112677624973e-05,2.00883600882662e-05
101,104,1.695389346423326e-05,5.92292271903716e-05,4.438272117113229e-05,2.00883600882662e-05,2.3488305714636223e-05
102,105,1.852112677624973e-05,1.695389346423326e-05,5.92292271903716e-05,2.3488305714636223e-05,2.6888251341006253e-05
103,106,2.00883600882662e-05,1.852112677624973e-05,1.695389346423326e-05,2.6888251341006253e-05,3.137622106805793e-05
104,107,2.3488305714636223e-05,2.00883600882662e-05,1.852112677624973e-05,3.137622106805793e-05,3.5864190795109605e-05
105,108,2.6888251341006253e-05,2.3488305714636223e-05,2.00883600882662e-05,3.5864190795109605e-05,2.2777081539970823e-05
106,109,3.137622106805793e-05,2.6888251341006253e-05,2.3488305714636223e-05,2.2777081539970823e-05,4.528528400745321e-05
107,110,3.5864190795109605e-05,3.137622106805793e-05,2.6888251341006253e-05,4.528528400745321e-05,4.590310272002777e-05
108,111,2.2777081539970823e-05,3.5864190795109605e-05,3.137622106805793e-05,4.590310272002777e-05,4.652092143260234e-05
109,112,4.528528400745321e-05,2.2777081539970823e-05,3.5864190795109605e-05,4.652092143260234e-05,4.7138740145176906e-05
110,113,4.590310272002777e-05,4.528528400745321e-05,2.2777081539970823e-05,4.7138740145176906e-05,4.7756558857751466e-05
111,114,4.652092143260234e-05,4.590310272002777e-05,4.528528400745321e-05,4.7756558857751466e-05,4.837437757032603e-05
112,115,4.7138740145176906e-05,4.652092143260234e-05,4.590310272002777e-05,4.837437757032603e-05,4.89921962829006e-05
113,116,4.7756558857751466e-05,4.7138740145176906e-05,4.652092143260234e-05,4.89921962829006e-05,4.9610014995475166e-05
114,117,4.837437757032603e-05,4.7756558857751466e-05,4.7138740145176906e-05,4.9610014995475166e-05,5.022783370804973e-05
115,118,4.89921962829006e-05,4.837437757032603e-05,4.7756558857751466e-05,5.022783370804973e-05,4.710880239144899e-05
116,119,4.9610014995475166e-05,4.89921962829006e-05,4.837437757032603e-05,4.710880239144899e-05,2.438967446020494e-05
