date,feature_index,NO2
2024-01-26T00:00:00.000Z,0,3.328273699783798E-5
2024-01-23T00:00:00.000Z,0,4.174940113443881E-5
2024-01-28T00:00:00.000Z,0,
2024-01-22T00:00:00.000Z,0,
2024-01-25T00:00:00.000Z,0,3.900871827985005E-5
2024-01-24T00:00:00.000Z,0,
2024-04-12T00:00:00.000Z,0,1.695389346423326E-5
2024-04-16T00:00:00.000Z,0,2.6888251341006253E-5
2024-04-13T00:00:00.000Z,0,
2024-04-11T00:00:00.000Z,0,5.92292271903716E-5
2024-04-15T00:00:00.000Z,0,
2024-04-17T00:00:00.000Z,0,
2024-04-14T00:00:00.000Z,0,2.00883600882662E-5
2024-04-18T00:00:00.000Z,0,3.5864190795109605E-5
2024-04-01T00:00:00.000Z,0,
2024-04-02T00:00:00.000Z,0,4.427925377967767E-5
2024-03-28T00:00:00.000Z,0,
2024-03-30T00:00:00.000Z,0,3.0559188720265716E-5
2024-03-27T00:00:00.000Z,0,3.829317847703351E-5
2024-03-26T00:00:00.000Z,0,4.0139850170817226E-5
2024-03-29T00:00:00.000Z,0,3.8299026224801004E-5
2024-03-31T00:00:00.000Z,0,1.90573782674619E-5
2024-01-01T00:00:00.000Z,0,
2024-01-02T00:00:00.000Z,0,
2023-12-31T00:00:00.000Z,0,
2024-01-03T00:00:00.000Z,0,
2024-01-04T00:00:00.000Z,0,1.5131935469980817E-5
2024-01-05T00:00:00.000Z,0,3.9315833419095725E-5
2024-03-07T00:00:00.000Z,0,3.5485198168316856E-5
2024-03-08T00:00:00.000Z,0,
2024-03-04T00:00:00.000Z,0,
2024-03-02T00:00:00.000Z,0,
2024-03-05T00:00:00.000Z,0,3.7653290200978516E-5
2024-03-09T00:00:00.000Z,0,
2024-03-06T00:00:00.000Z,0,
2024-03-03T00:00:00.000Z,0,3.211278090020642E-5
2024-04-29T00:00:00.000Z,0,4.710880239144899E-5
2024-04-27T00:00:00.000Z,0,
2024-04-30T00:00:00.000Z,0,2.438967446020494E-5
2024-04-28T00:00:00.000Z,0,5.022783370804973E-5
2024-01-31T00:00:00.000Z,0,2.253677454670348E-5
2024-02-02T00:00:00.000Z,0,
2024-02-05T00:00:00.000Z,0,3.626831645912413E-5
2024-02-01T00:00:00.000Z,0,5.1277506827318575E-5
2024-02-03T00:00:00.000Z,0,
2024-02-04T00:00:00.000Z,0,
2024-02-06T00:00:00.000Z,0,3.335698784212582E-5
2024-01-30T00:00:00.000Z,0,
2024-03-15T00:00:00.000Z,0,
2024-03-14T00:00:00.000Z,0,
2024-03-13T00:00:00.000Z,0,
2024-03-17T00:00:00.000Z,0,
2024-03-12T00:00:00.000Z,0,
2024-03-10T00:00:00.000Z,0,
2024-03-16T00:00:00.000Z,0,
2024-03-11T00:00:00.000Z,0,
2024-01-11T00:00:00.000Z,0,
2024-01-12T00:00:00.000Z,0,2.862027849914739E-5
2024-01-06T00:00:00.000Z,0,
2024-01-09T00:00:00.000Z,0,8.20838577055838E-5
2024-01-10T00:00:00.000Z,0,
2024-01-08T00:00:00.000Z,0,
2024-01-07T00:00:00.000Z,0,
2024-01-13T00:00:00.000Z,0,6.153349168016575E-5
2024-04-22T00:00:00.000Z,0,
2024-04-24T00:00:00.000Z,0,
2024-04-26T00:00:00.000Z,0,
2024-04-21T00:00:00.000Z,0,
2024-04-23T00:00:00.000Z,0,
2024-04-20T00:00:00.000Z,0,4.528528400745321E-5
2024-04-25T00:00:00.000Z,0,
2024-04-19T00:00:00.000Z,0,2.2777081539970823E-5
2024-02-29T00:00:00.000Z,0,3.996915741784809E-5
2024-02-24T00:00:00.000Z,0,
2024-02-27T00:00:00.000Z,0,6.489087172667496E-5
2024-02-28T00:00:00.000Z,0,
2024-02-23T00:00:00.000Z,0,
2024-03-01T00:00:00.000Z,0,
2024-02-25T00:00:00.000Z,0,
2024-02-26T00:00:00.000Z,0,4.795948298124131E-5
