NO2,t1,t2,t3,t4,t5
3.468455239878191e-05,6.61340748896085e-05,9.75835973804351e-05,3.59908235623152e-05,4.427925377967767e-05,3.166831602356979e-05
3.672714910862851e-05,3.468455239878191e-05,6.61340748896085e-05,9.75835973804351e-05,3.59908235623152e-05,4.427925377967767e-05
3.356045484300315e-05,3.672714910862851e-05,3.468455239878191e-05,6.61340748896085e-05,9.75835973804351e-05,3.59908235623152e-05
3.897158800706772e-05,3.356045484300315e-05,3.672714910862851e-05,3.468455239878191e-05,6.61340748896085e-05,9.75835973804351e-05
4.438272117113229e-05,3.897158800706772e-05,3.356045484300315e-05,3.672714910862851e-05,3.468455239878191e-05,6.61340748896085e-05
5.92292271903716e-05,4.438272117113229e-05,3.897158800706772e-05,3.356045484300315e-05,3.672714910862851e-05,3.468455239878191e-05
1.695389346423326e-05,5.92292271903716e-05,4.438272117113229e-05,3.897158800706772e-05,3.356045484300315e-05,3.672714910862851e-05
1.852112677624973e-05,1.695389346423326e-05,5.92292271903716e-05,4.438272117113229e-05,3.897158800706772e-05,3.356045484300315e-05
2.00883600882662e-05,1.852112677624973e-05,1.695389346423326e-05,5.92292271903716e-05,4.438272117113229e-05,3.897158800706772e-05
2.3488305714636226e-05,2.00883600882662e-05,1.852112677624973e-05,1.695389346423326e-05,5.92292271903716e-05,4.438272117113229e-05
2.6888251341006253e-05,2.3488305714636226e-05,2.00883600882662e-05,1.852112677624973e-05,1.695389346423326e-05,5.92292271903716e-05
3.137622106805793e-05,2.6888251341006253e-05,2.3488305714636226e-05,2.00883600882662e-05,1.852112677624973e-05,1.695389346423326e-05
3.5864190795109605e-05,3.137622106805793e-05,2.6888251341006253e-05,2.3488305714636226e-05,2.00883600882662e-05,1.852112677624973e-05
2.2777081539970823e-05,3.5864190795109605e-05,3.137622106805793e-05,2.6888251341006253e-05,2.3488305714636226e-05,2.00883600882662e-05
4.528528400745321e-05,2.2777081539970823e-05,3.5864190795109605e-05,3.137622106805793e-05,2.6888251341006253e-05,2.3488305714636226e-05
4.590310272002777e-05,4.528528400745321e-05,2.2777081539970823e-05,3.5864190795109605e-05,3.137622106805793e-05,2.6888251341006253e-05
4.652092143260234e-05,4.590310272002777e-05,4.528528400745321e-05,2.2777081539970823e-05,3.5864190795109605e-05,3.137622106805793e-05
4.7138740145176906e-05,4.652092143260234e-05,4.590310272002777e-05,4.528528400745321e-05,2.2777081539970823e-05,3.5864190795109605e-05
4.7756558857751466e-05,4.7138740145176906e-05,4.652092143260234e-05,4.590310272002777e-05,4.528528400745321e-05,2.2777081539970823e-05
4.837437757032603e-05,4.7756558857751466e-05,4.7138740145176906e-05,4.652092143260234e-05,4.590310272002777e-05,4.528528400745321e-05
4.89921962829006e-05,4.837437757032603e-05,4.7756558857751466e-05,4.7138740145176906e-05,4.652092143260234e-05,4.590310272002777e-05
4.9610014995475166e-05,4.89921962829006e-05,4.837437757032603e-05,4.7756558857751466e-05,4.7138740145176906e-05,4.652092143260234e-05
5.022783370804973e-05,4.9610014995475166e-05,4.89921962829006e-05,4.837437757032603e-05,4.7756558857751466e-05,4.7138740145176906e-05
4.710880239144899e-05,5.022783370804973e-05,4.9610014995475166e-05,4.89921962829006e-05,4.837437757032603e-05,4.7756558857751466e-05
2.438967446020494e-05,4.710880239144899e-05,5.022783370804973e-05,4.9610014995475166e-05,4.89921962829006e-05,4.837437757032603e-05
